"texto"	"id"	"nombre"	"fecha"	"respuestaA"	"respuestaAid"	"favorito"	"n_favorito"	"retweeteado"	"n_retweet"	"es_retweet"	"fuente"	"longitud"	"latitud"
"RT @RMGCharlie: I figured this was appropriate today. https://t.co/IExWtQ2rmz #Hodor #HoldTheDoor #GameOfThrones #GOT #Panda
https://t.co/M…"	"735235928680235010"	"abouzamazem"	2016-05-24 22:28:00	NA	NA	FALSE	0	FALSE	481	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"A true gentleman...#got #gameofthrones #holdthedoor https://t.co/HzYkHfFiAO"	"735235920958459904"	"hollywoodrum"	2016-05-24 22:27:58	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"Hodor <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #GOT"	"735235915560439810"	"laurakayeauthor"	2016-05-24 22:27:56	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"RT @albertond86: En estos momentos hay en España más incertidumbre por el doblaje de #GOT con lo de #HODOR que por la formación de Gobierno."	"735235912221794305"	"laurentsegura"	2016-05-24 22:27:56	NA	NA	FALSE	0	FALSE	45	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"5 stars Battle Scenes, Brawls, Mysteries, and Adventures #BookReview July 22, 2012 https://t.co/dZWBOJulyl #Kindle   #Fantasy #GoT #RT"	"735235897063440385"	"MrStubbsSays"	2016-05-24 22:27:52	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"RT @GodlessUtopia: ""It's hard for a fanatic to admit a mistake..  Everything is the 'Lord's will'."" - Lord Varys

#GameofThrones #GoT https…"	"735235867929894913"	"Da_Broken_Seal"	2016-05-24 22:27:45	NA	NA	FALSE	0	FALSE	90	TRUE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"JonSnowyy: Haha... Will not make sense unless you're caught up. #gameofthrones #got #... https://t.co/apkHnrZd7F https://t.co/CVInFzQxHG"	"735235823424012289"	"ThroneNews99"	2016-05-24 22:27:34	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>"	NA	NA
"RT @CrawlingEagle13: I just want someone to look at me the way Tormund looks at Brienne. #GOT #HoldTheDoor https://t.co/dUL8vLu7Rf"	"735235816306286593"	"micahsgrrl"	2016-05-24 22:27:33	NA	NA	FALSE	0	FALSE	1742	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"Promised myself I wouldn't watch #GoT until after my exams, broke it half way through"	"735235778243072000"	"NthabyMasinge"	2016-05-24 22:27:24	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>"	NA	NA
"RT @ProVene: ¿Cómo se activa la #CartaDemocrática de @OEA_oficial y qué puede lograr? Te lo explicamos con 2 personajes de #GOT https://t.c…"	"735235774963167233"	"yraidacrespo"	2016-05-24 22:27:23	NA	NA	FALSE	0	FALSE	3	TRUE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"JonSnowyy: Yo...he is savage#gameofthrones #got #hbo #winteriscoming #jonsnow #stark ... https://t.co/YFRAHCx5lt https://t.co/NmiKSiL1RQ"	"735235772480004097"	"ThroneNews99"	2016-05-24 22:27:22	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>"	NA	NA
"I just googled ""Sean Bean beach photos"" for a work project. #sorryIT #socialmediamanagerproblems #GoT #teachermemes  #summeriscoming"	"735235755178524672"	"Ryan_N_Sargent"	2016-05-24 22:27:18	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"Lol, a eleição do novo rei das Ilhas de Ferro está tão adaptada a TV. Clichés todos. E não faz metade do sentido da versão do livro #GoT"	"735235740003651584"	"bgmalves"	2016-05-24 22:27:15	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"ok @GRRM ... now #holdthedoor will give me heartache for the rest of my life... I can't hold this feeling anymore...#GOT i need a therapist"	"735235703378956289"	"Romi_GV"	2016-05-24 22:27:06	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"Oim #GOT https://t.co/FPO1yBU5Yj"	"735235686756954112"	"InesouB"	2016-05-24 22:27:02	NA	NA	FALSE	0	FALSE	1	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"RT @albertond86: En estos momentos hay en España más incertidumbre por el doblaje de #GOT con lo de #HODOR que por la formación de Gobierno."	"735235664934019072"	"barrabea"	2016-05-24 22:26:57	NA	NA	FALSE	0	FALSE	45	TRUE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"Yo...he is savage

#gameofthrones #got #hbo #winteriscoming #jonsnow #stark #khaleesi #asoiaf #asongoficeandfire #d… https://t.co/TQzPUER9gT"	"735235652334309376"	"jonsnowyy"	2016-05-24 22:26:54	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	NA	NA
"It's nice to see Sansa Stark grow a pair #got"	"735235644432240641"	"Veephillips"	2016-05-24 22:26:52	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"A chaque fois qu'il y a un paradoxe temporel ds une fiction, j'fais un peu près cette tête là. Merci au dernier #GOT https://t.co/20EtmGqa7S"	"735235643400454144"	"miquette_"	2016-05-24 22:26:52	NA	NA	FALSE	2	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"#nofilter #JonSnow #KitHarrington #doctorfausters #youknownothing #takemetoyourcave #fangirl #GoT #gameofthrones #s… https://t.co/7oWIZFaRVL"	"735235634453942272"	"jonsnowyy"	2016-05-24 22:26:49	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	NA	NA
"Just watched S6E1 of #GoT things I do while I procrastinate"	"735235630825869312"	"NthabyMasinge"	2016-05-24 22:26:49	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>"	NA	NA
"RT @WillShayhan: im still emotionally recovering from last nights #GoT episode..."	"735235589977571328"	"LunaCordier"	2016-05-24 22:26:39	NA	NA	FALSE	0	FALSE	25	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"No te lo perdonaré jamás, George R.R. Martín. Jamás. #got"	"735235583333781505"	"MadridSeb"	2016-05-24 22:26:37	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"Haha... Will not make sense unless you're caught up. #gameofthrones #got #hodor by evangitron https://t.co/BhCsGIbhPh"	"735235579084955649"	"jonsnowyy"	2016-05-24 22:26:36	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	NA	NA
"Yo...he is savage

#gameofthrones #got #hbo #winteriscoming #jonsnow #stark #khaleesi #asoiaf #asongoficeandfire #d… https://t.co/RZBMSxM7vK"	"735235571304570880"	"jonsnowyy"	2016-05-24 22:26:34	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	NA	NA
"Such a great show #Asoiaf #grrm #got #gameofthrones #Jonsnow #redwedding #holdthedoor #stannis <U+2764><U+FE0F> by joakimlarsen94 https://t.co/vwGmtEheT5"	"735235548395278337"	"jonsnowyy"	2016-05-24 22:26:29	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	NA	NA
"Smooth Jorah. <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>
#gameofthrones #khaleesi #jorahmormont #followme #gameofthroneshbo #got #gameofthronesfamily #hbo #… https://t.co/NDZluJtoNt"	"735235503440678913"	"jonsnowyy"	2016-05-24 22:26:18	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	NA	NA
"#GameofThrones: @HiddenRemote asks - Is #JonSnow Hitting the Wall of Progress? https://t.co/IWIKFDruCj

#GoT"	"735235492808151041"	"EclecticPop"	2016-05-24 22:26:16	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
".....<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> <ed><U+00A0><U+00BD><ed><U+00B2><U+00A7><ed><U+00A0><U+00BD><ed><U+00B2><U+00A7><ed><U+00A0><U+00BD><ed><U+00B2><U+00A7><ed><U+00A0><U+00BD><ed><U+00B2><U+00A7><ed><U+00A0><U+00BD><ed><U+00B2><U+00A7>
#holdthedoor #gameofthrones #hodor #got #branstark #grrmartin #whitewalkers #thedoor #sketch #art #boo… https://t.co/l807qJZrJG"	"735235491080065025"	"jonsnowyy"	2016-05-24 22:26:15	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	NA	NA
"@HBO Warum #Hodor?

Ein stiller #Held in #GameOfThrones! 

#GOT #HoldTheDoor #brokenHeart <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>"	"735235490396438530"	"TYPOgrafik_"	2016-05-24 22:26:15	"HBO"	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>"	NA	NA
"A cake that trumped #GOT. Dang. Better try it. Thanks, @honeyandfigs 
#vegan #raspberry #truffle #almond #cake https://t.co/dAEzuCDl42"	"735235484708966400"	"KeepinItKind"	2016-05-24 22:26:14	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>"	NA	NA
"am i the only one who constantly thinks about the direwolves? ; . ; #got 
jon please, keep ghost safe."	"735235479520579584"	"sherylin7"	2016-05-24 22:26:12	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"Que episodio tan terriblemente triste :( #GoT"	"735235476869787648"	"mariajor"	2016-05-24 22:26:12	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"SPOILER ALERT
#gameofthrones #got #ironthrone #westeros #allhailtheking #teamtargaryen by nanigga https://t.co/1zqdEtROoo"	"735235464798568448"	"jonsnowyy"	2016-05-24 22:26:09	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>"	NA	NA
"RT @GuitarZero6: Bon courage pour la VF de #GoT quand même. 
""Tiens la porte !"" 
Tiens la porte
Tiens la porte
Tiens porte
Tienporte
Tienpo…"	"735235440245104640"	"lilianZoldyck"	2016-05-24 22:26:03	NA	NA	FALSE	0	FALSE	177	TRUE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"RT @CrawlingEagle13: I just want someone to look at me the way Tormund looks at Brienne. #GOT #HoldTheDoor https://t.co/dUL8vLu7Rf"	"735235404928946176"	"emkkat"	2016-05-24 22:25:55	NA	NA	FALSE	0	FALSE	1742	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"In an elevator today #GOT https://t.co/uh2BDTl3fN"	"735235400709574657"	"Vinvox"	2016-05-24 22:25:54	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"The White Walkers terrify me #GOT"	"735235380593762304"	"antoniamay_"	2016-05-24 22:25:49	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"""Hold the door"" is the new ""Look at the flowers"" <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #GoT #TWD #TheWalkingDead"	"735235326780833793"	"Alexwintermute"	2016-05-24 22:25:36	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"Why can't #GameofThrones just come on twice or three times a week!
This season has been best one yet!
#HoldTheDoor #Hordor #GOT"	"735235286595186689"	"BR11NZD"	2016-05-24 22:25:26	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"RT @sara_alghamdi1: https://t.co/hXCbypAgm3 #GOT #JonSnow by me <U+2764><U+FE0F> <U+0631><U+0633><U+0645><U+062A><U+064A> <U+0644><U+062C><U+0648><U+0646> <U+0633><U+0646><U+0648>"	"735235268941389824"	"sarahsoo1990"	2016-05-24 22:25:22	NA	NA	FALSE	0	FALSE	3	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"RT @hootsuite: We know the Starks and Lannisters, but what about House Twitter and Facebook? #GOT https://t.co/vRXuVJ8oZT"	"735235265325719552"	"iCatherineBao"	2016-05-24 22:25:21	NA	NA	FALSE	0	FALSE	106	TRUE	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA
"'Game of Thrones' has gone off the rails. I'd quit watching if I could https://t.co/tClU59tA9m #entertainment #gameofthrones  #GOT #HBO"	"735235262997880832"	"MoptwoLLC"	2016-05-24 22:25:21	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"RT @CrawlingEagle13: I just want someone to look at me the way Tormund looks at Brienne. #GOT #HoldTheDoor https://t.co/dUL8vLu7Rf"	"735235190570647552"	"ChappyChaps01"	2016-05-24 22:25:04	NA	NA	FALSE	0	FALSE	1742	TRUE	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA
"I've just watched episode S05E10 of Game of Thrones! #GoT https://t.co/EBbhVZGUnP"	"735235188326838273"	"ierogirl"	2016-05-24 22:25:03	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://www.tvshowtime.com"" rel=""nofollow"">TVShow Time</a>"	NA	NA
"Acabo de ver el #GoT S06x05, y no lo supero. Están muy sádicos."	"735235160258514944"	"gomezcesar"	2016-05-24 22:24:56	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	NA	NA
"Prediction: #Hodor = Cold Hands in #GoT show (not books)"	"735235142076137473"	"Laura4Prez"	2016-05-24 22:24:52	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>"	NA	NA
"<ed><U+00AE><U+00B8><ed><U+00BC><U+00BA> #toosoon #holdthedoor #hodor #holddoor #GoT #gameofthrones #Repost @fuckjerry
···
Who did this? Way too soon. https://t.co/EbYOk5oR7Y"	"735235115970928640"	"DJCASE"	2016-05-24 22:24:46	NA	NA	FALSE	0	FALSE	0	FALSE	"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	NA	NA
